关键词,用户名,用户id,内容,发博时间,转发数,评论数,点赞数,url
美国实体清单,大项的天,1758961192,突发：美国商务部工业和安全局声明指，把华为及70个附属公司增列入出口管制的所谓实体清单。此举意味着美国供应商如果要向华为供货，需要取得出口许可证。?,2019/5/16 6:43,479,314,105,https://weibo.com/1758961192/Hup7XdaVc?refer_flag=1001030103_
美国实体清单,洪水中的小蚂蚁,1511423691,川普将签署行政令，禁止美国企业使用对国家安全构成风险的企业所生产的电信设备，为禁止美企与华为的业务往来做准备。美国商务部星期三宣布把华为及70个附属公司增列入出口管制的所谓实体清单（EntityList）。此举意味着美国供应商如果要向华为供货，需要取得出口许可证。?,2019/5/16 7:56,0,0,1,https://weibo.com/1511423691/HupBHmYqV?refer_flag=1001030103_
美国实体清单,秋月仰望,1114067051,昨天的消息美国商务部工业和安全局声明指，把华为及70个附属公司增列入出口管制的所谓实体清单。此举意味着美国供应商如果要向华为供货，需要取得出口许可证美国总统特朗普周三签署行政命令，宣布进入国家紧急状态，允许美国禁止被“外国对手”拥有或掌控的公司提供电信设备和服务。同时，美国商务部宣布，将中国电信巨头华为公司及其子公司列入“实体名单”。这份名为《保障信息与通讯技术及服务供应链安全》的行政令宣布，为应对在信息和通讯技术及服务上面临的“重大国家安全威胁”，美国进入国家紧急状态。该命令还授权商务部部长可禁止被美国认为可能具有国家安全隐患的交易。,2019/5/16 7:54,0,0,4,https://weibo.com/1114067051/HupAMlUKw?refer_flag=1001030103_
美国实体清单,XConstructor,2208067002,BREAKINGNEWS：美国商务部工业和安全局声明指，把华为及70个附属公司增列入出口管制的所谓实体清单（EntityList）。此举意味着美国供应商如果要向华为供货，需要取得出口许可证。?,2019/5/16 7:52,0,0,0,https://weibo.com/2208067002/HupAdsaTY?refer_flag=1001030103_
美国实体清单,韭菜独立连,2168643433,突发：美国商务部工业和安全局声明指，把华为及70个附属公司增列入出口管制的所谓实体清单。此举意味着美国供应商如果要向华为供货，需要取得出口许可证。???,2019/5/16 7:49,0,0,7,https://weibo.com/2168643433/HupyV67ZL?refer_flag=1001030103_
美国实体清单,wayne余叔,6279013999,昨天的消息美国商务部工业和安全局声明指，把华为及70个附属公司增列入出口管制的所谓实体清单。此举意味着美国供应商如果要向华为供货，需要取得出口许可证美国总统特朗普周三签署行政命令，宣布进入国家紧急状态，允许美国禁止被“外国对手”拥有或掌控的公司提供电信设备和服务。同时，美国商务部宣布，将中国电信巨头华为公司及其子公司列入“实体名单”。这份名为《保障信息与通讯技术及服务供应链安全》的行政令宣布，为应对在信息和通讯技术及服务上面临的“重大国家安全威胁”，美国进入国家紧急状态。该命令还授权商务部部长可禁止被美国认为可能具有国家安全隐患的交易。,2019/5/16 7:49,0,0,0,https://weibo.com/6279013999/HupyDFDH8?refer_flag=1001030103_
美国实体清单,期货徐翔,2399675615,美国商务部工业和安全局声明指，把华为及70个附属公司增列入出口管制的所谓实体清单（EntityList）。此举意味着美国供应商如果要向华为供货，需要取得出口许可证。#突发##华为#???,2019/5/16 7:47,3,0,1,https://weibo.com/2399675615/HupydDfyd?refer_flag=1001030103_
美国实体清单,有海的地方就有眺望,5230435463,通信圈热议：美国商务部工业和安全局声明指，把华为及70个附属公司增列入出口管制的所谓实体清单（EntityList）。此举意味着美国供应商如果要向华为供货，需要取得出口许可证。???,2019/5/16 8:53,0,0,0,https://weibo.com/5230435463/HupYSnFMn?refer_flag=1001030103_
美国实体清单,投资舆情,1888116862,通信圈热议：美国商务部工业和安全局声明指，把华为及70个附属公司增列入出口管制的所谓实体清单（EntityList）。此举意味着美国供应商如果要向华为供货，需要取得出口许可证。冷战时期对付苏联的玩法了。?,2019/5/16 8:49,178,244,209,https://weibo.com/1888116862/HupXcCp6B?refer_flag=1001030103_
美国实体清单,三国法杨帆,2629450315,美国商务部工业和安全局声明，将华为及70个附属公司增列入出口管制的实体清单。这就意味着美国供应商如果要向华为供货，需要取得出口许可证。@行政法徐金桂推荐一款华为手机给我呗！2南京·南京林业大学?,2019/5/16 8:46,16,52,167,https://weibo.com/2629450315/HupW4k4GC?refer_flag=1001030103_
美国实体清单,投行泰山,1854368294,转：BREAKINGNEWS：美国商务部工业和安全局声明指，把华为及70个附属公司增列入出口管制的所谓实体清单（EntityList）。此举意味美国供应商如果要向华为供货，需要取得出口许可证。战火仍在一步步传导中...?,2019/5/16 8:42,90,10,28,https://weibo.com/1854368294/HupUb0ipS?refer_flag=1001030103_
